stop_id,pop_within_200m,pop_within_500m,pop_within_1km
0200HHR,1240,7052,26850
0200HML,2318,13139,50998
0200HTN,7794,60021,256222
0200HUN,1358,8493,29008
0200IMI,1358,8113,24917
0200IRR,8853,62680,245654
0200JIN,0,0,0
0200KAI,0,0,0
0200KAW,0,0,0
0200KBM,10628,67287,281305
0200KCI,9961,66831,265230
0200KEI,1240,7652,27703
0200KEN,7824,48660,201510
0200KEP,4950,40989,165586
0200KJN,0,0,0
0200KS2,0,0,0
0200KTJ,0,0,0
0200KUF,203,1469,5489
0200KWH,467,2998,9944
0200LOK,1067,6680,27340
0200LPO,7414,37650,159597
0200MAT,1358,8440,34231
0200MBA,2228,25155,125263
0200MBC,0,0,0
0200MGN,617,3859,15438
0200MNO,0,0,0
0200MOS,4812,32874,148514
0200MRR,617,3859,15493
0200MSH,0,0,0
0200MTE,536,9104,71842
0200NEH,617,3859,18516
0200NES,3340,18815,55982
0200NFR,1358,8298,29782
0200NGN,1188,7296,32703
0200NHL,0,0,0
0200NYT,617,3859,15438
0200OIC,7824,48494,178829
0200OTO,534,3344,13494
0200RAW,214,1495,6212
0200RDS,526,3290,13300
0200RER,7824,48741,180865
0200RGC,3340,17938,59683
0200RIE,7824,49589,208962
0200RIL,0,0,8131
0200RKN,617,3859,21860
0200RND,529,3241,12869
0200ROC,536,3337,13369
0200RST,833,9024,50143
0200RTI,0,0,0
0200RUK,617,3859,15438
0200SAK,7824,48444,186401
0200SAN,0,0,0
0200SHK,535,3331,13226
0200SHL,2191,12886,66003
0200SHP,10868,67318,277283
0200SKU,0,0,0
0200SPH,0,0,0
0200SRA,8360,58565,240177
0200STD,2430,13863,52408
0200STM,617,3859,15438
0200STR,0,0,0
0200TDS,2749,16844,56981
0200TFC,4812,32219,149111
0200TKL,0,0,0
0200TND,0,0,0
0200TSB,0,0,0
0200TSO,1240,7269,34812
0200TSS,1240,11177,56376
0200UET,3340,19879,57612
0200URA,1882,11759,36312
0200URD,1067,6888,27313
0200WAN,8125,56611,232468
0200WJY,539,3383,13549
0200WKU,1358,8493,28138
02016EA,10360,58575,195651
0201AGH,1067,6713,27411
0201AIK,7525,51738,242208
0201AIP,0,0,0
0201AIS,4812,32396,148860
0201ALP,6464,34829,147764
0201ALS,3311,26561,121036
0201AMC,7062,33442,138713
0201ARI,0,0,0
0201ARS,617,7806,43738
0201ASP,6376,34636,146561
0201ATB,10052,65254,271824
0201BHC,0,0,0
0201BPC,4975,36411,153906
0201BRA,0,0,0
0201CAL,1188,7439,31480
0201CIA,6728,34401,144052
0201CIT,7824,48048,178348
0201CJU,0,0,0
0201CNA,1953,19180,74380
0201CON,8236,58115,237417
0201DAW,8220,55978,233701
0201DBR,0,0,0
0201DIA,1240,7396,27944
0201DNK,3338,18960,57299
0201DNO,8612,49857,212360
0201DUA,0,0,0
0201DWE,0,0,0
0201ECH,8246,56313,234642
0201ENL,7766,59905,256094
0201EQT,3340,19848,57233
0201EVR,154,952,5758
0201FM,2228,17463,111615
0201GIT,2524,13383,39008
0201GRD,3340,19852,57252
0201GRG,1358,7112,22799
0201GTC,6640,38396,150158
0201GTJ,0,0,0
0201GTO,539,3320,12384
0201HML,1172,10168,52161
0201HSM,4812,32142,149625
0201IAH,3920,28398,105117
0201IES,1240,7477,27836
0201IIR,10783,64056,248517
0201IKN,0,0,0
0201I/T,9958,65433,279103
0201JAM,0,0,0
0201JNT,0,0,0
0201KAI,0,0,0
0201KAM,7381,48811,245686
0201KBM,9837,65062,278670
0201KBO,0,0,0
0201KCB,0,0,0
0201KCL,1067,6720,27374
0201KEE,5041,37417,155664
0201KEP,4899,40677,164975
0201KFS,536,3412,15904
0201KGM,0,0,0
0201KIH,0,0,0
0201KJN,0,0,0
0201KMT,1358,8492,26922
0201KRK,4648,24006,75423
0201KS2,0,0,0
0201KSR,0,9,1630
0201KSS,0,0,792
0201KSU,0,0,0
0201KWH,459,2969,9870
0201MET,3340,18327,55374
0201MGN,617,3859,15438
0201MJM,1070,5705,20326
0201MLM,378,3532,16858
0201MML,1240,6765,30363
0201MNO,0,0,0
0201MOS,4812,32573,148079
0201MRT,1358,8451,34366
0201MSH,0,0,0
0201MSQ,8703,69237,246107
0201MTR,2170,12273,48651
0201NAS,3340,18018,58548
0201NBN,8369,61534,245105
0201NEH,617,3859,18562
0201NIO,10740,67780,281763
0201NTR,535,3359,13332
0201NVS,8377,59014,241263
0201NYT,617,3859,15438
0201OER,1240,7673,28709
0201PME,7545,51319,173422
0201PNG,1409,9292,66479
0201POS,0,0,0
0201PPS,3340,17879,59443
0201RAK,1067,6786,27326
0201RDS,522,3279,13282
0201RET,0,0,875
0201REV,5369,30904,144983
0201RGC,3340,17791,59362
0201RIL,0,0,8160
0201RKN,617,3859,19524
0201RND,528,3241,12879
0201RNK,10823,69533,271034
0201ROC,534,3333,13348
0201RRP,1684,11845,49721
0201RSB,2217,12494,48502
0201RST,854,9037,50910
0201RUK,617,3859,15438
0201RYB,1067,6884,27316
0201RZA,7772,41107,106237
0201SDP,1507,10682,45259
0201SHL,2486,13377,67646
0201SHP,10001,65149,275354
0201SPH,0,0,0
0201SSN,2602,16436,56542
0201STM,617,3859,15438
0201SUN,1358,8493,27971
0201TEH,1747,11724,48358
0201TIN,1358,8178,25078
0201TIU,1240,11504,57786
0201TJA,4815,34819,151704
0201TKS,0,0,0
0201UCP,8251,56438,234977
0201UGC,539,9201,72238
0201UOA,757,4749,38757
0201URI,9765,66303,264529
0201VRS,7824,48730,181306
0201WAA,7824,49061,195836
0201WJY,533,3359,13495
0201WOA,2276,15191,56437
0201YTU,10821,66845,264864
0201YUE,5226,30535,143709
0202LUT,757,4731,33036
0202RSB,2517,14080,50764
0203SND,1358,8492,26979
02107SA,377,2359,9438
0210ABI,4812,31867,149954
0210ACO,528,4894,52642
0210AEC,10894,70120,274376
0210AFY,142,834,3272
0210AIC,362,1986,7560
0210AIE,10727,63772,248009
0210AIK,0,0,28
0210AIT,184,1156,4260
0210AKC,5103,30390,140722
0210AKE,184,1156,4624
0210ALS,5589,31549,142515
0210AMC,0,0,0
0210AMJ,0,0,0
0210ANI,8358,58292,239358
0210ANR,0,0,0
0210ANT,749,4861,17073
0210APB,0,0,0
0210ARA,377,2359,9438
0210ARG,9933,62149,244328
0210ARH,1095,6694,42859
0210ARI,0,0,0
0210ARM,775,4929,54029
0210AS3,10031,54417,201893
0210ASR,2169,12973,51724
0210ASV,8360,58345,239508
0210AUI,5085,30815,139047
0210AWR,230,1535,6285
0210AYA,72,451,1805
0210BBD,7034,45667,181457
0210CAH,2182,12719,73741
0210CAK,5407,31146,143358
0210CID,533,3411,15441
0210CIJ,8394,56512,230768
0210CKA,5230,30706,141823
0210CLM,0,0,205
0210CLY,0,0,616
0210CRH,1113,6703,42670
0210CRI,0,0,0
0210DBR,0,0,0
0210DGU,0,0,0
0210DIE,0,0,0
0210DLO,2240,12954,51287
0210DOE,0,0,0
0210DRV,5274,30663,144144
0210EC/,184,1039,3698
0210EIW,184,1156,4624
0210EKE,377,2359,9438
0210EKT,7381,50683,246424
0210ENE,757,4755,22881
0210EOS,2718,16749,56943
0210EOV,0,0,0
0210ERI,0,29,18856
0210ERV,234,1308,6471
0210EXL,8381,56228,229972
0210FAR,2243,13209,52324
0210FBO,313,1804,7414
0210FIG,1240,7371,26161
0210FLY,0,0,0
0210FNO,1358,8344,29906
0210GAO,7309,49957,141787
0210GEN,0,0,0
0210GIT,1790,11949,37720
0210GNN,1298,7528,37731
0210GPN,1447,9449,67593
0210GRG,9415,49482,151303
0210HAS,1122,6804,42572
0210HAU,205,1477,6185
0210HAW,1145,6849,42322
0210HER,0,0,0
0210HFI,0,0,0
0210HHE,0,0,0
0210HIP,0,0,0
0210HLE,184,1156,4624
0210HUN,1358,8493,29186
0210HUT,1865,11720,36255
0210HWA,227,1584,10389
0210HWD,227,1537,7964
0210HWK,212,1500,7795
0210IEL,2291,13083,51733
0210IES,1240,7641,28262
0210IHW,0,0,0
0210IIA,5135,30782,142388
0210IJI,518,3281,13315
0210IKS,1067,6710,27413
0210ILA,4003,28106,131065
0210IMT,0,0,0
0210INA,1476,10628,44929
0210IRI,1113,5819,20512
0210ISD,1240,7468,29051
0210ITI,5029,30553,141114
0210IVN,4988,29883,141356
0210IYU,0,0,0
0210JKT,0,0,0
0210JTS,378,2367,8861
