stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,road_type,distance_to_major_road,distance_to_nearest_stop,stops_within_500m,stops_within_1km,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_poverty_rate,is_benchmark_ward,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,is_good_stop,pop_within_500m,subcounty_gini,trips_per_1k_pop_per_hour
0401SPL,-1.268888712,36.90185308,Mowlem Ward,True,2,residential,222.3330931487245,94.19744516088171,14,44,3727,924.779822358499,2,2,720.0,0,2,,,,,,,,,,80.21913323300808,62819.89166655838,6.4,True,adequately_served,9.609986607510244,1.7826474051779573,9381.333333333334,0.0089552335115339,1,28144,0.08383073353009918,7.067824986975575
0401SPN,-1.328787804,36.89258873,Pipeline Ward,True,4,unclassified,48.01223667101728,15.888084124649222,15,49,4759,688.1241032945147,2,2,720.0,0,2,,,,,,,,,,60.39700177501157,40062.52343641133,13.8,False,underserved,9.6151318753566,1.2079400355002314,8399.0,0.0816122721933509,0,25197,0.2682490623582934,34.44615769624161
0401STG,-1.312388778,36.89294815,Utawala Ward,True,6,unclassified,110.51987722782576,33.189480809215105,18,38,1192,533.5841812400769,4,4,360.0,0,4,,,,,,,,,,84.76259453269707,26083.793400018483,7.2,True,adequately_served,8.902713414238088,2.1733998598127453,2056.6,0.0538020678389243,1,10283,0.4401639794947514,24.843012289751567
0401SVN,-1.2971,36.89441,Lower Savanna Ward,True,6,residential,5.4147069726942,19.861507966852518,8,51,1886,890.7319951611298,2,2,720.0,0,2,,,,,,,,,,88.47974586442976,54574.55002586656,7.2,True,adequately_served,8.665249111336909,1.701533574315957,4117.0,0.9353505975472453,1,12351,0.4401639794947514,19.569561260583967
0401SWM,-1.263862252,36.92283869,Kayole North Ward,True,6,tertiary,420.35795699093785,54.83865411799013,14,58,0,4831.496025580608,1,1,1440.0,0,1,,,,,,,,,,100.0,67394.96560338311,7.0,True,well_served,12.008000008977127,1.694915254237288,27396.0,0.0142396741308697,1,54792,0.022630682905449118,5.697754966740778
0401SWT,-1.281484365,36.91460967,Kayole South Ward,True,6,tertiary,827.2275226179601,22.87623487731937,13,49,0,579.3815492539088,2,2,720.0,0,2,,,,,,,,,,100.0,8232.274747688632,7.0,True,well_served,10.842527843122951,2.0,3504.6666666666665,0.0072443861573622,1,10514,0.022630682905449118,96.20670158298215
0401TAL,-1.306321621,36.84146583,Landimawe Ward,True,3,secondary,185.5704388148022,17.374813562367983,9,57,1605,1460.3630618359082,1,1,1440.0,0,1,,,,,,,,,,89.63594611695733,51643.83141519055,20.0,True,adequately_served,3.4905291807785352,1.545447346844092,3661.0,0.0160797177680325,1,7322,0.08231028091418335,19.053582451873734
0401TEU,-1.271490455,36.88067704,Harambee Ward,True,6,residential,33.944671078296075,4.534709545779699,38,88,12,2149.886430498332,1,1,1440.0,0,1,,,,,,,,,,99.974015693587,153059.43940013353,7.3,True,well_served,7.248699770415413,1.123303547118955,16553.5,0.1716999993090953,1,33107,0.029576600795033103,13.328155440756309
0401TGS,-1.29024,36.90175,Lower Savanna Ward,True,6,residential,133.19159934743104,22.687575087548304,13,40,1886,890.7319951611298,1,1,1440.0,0,1,,,,,,,,,,88.47974586442976,54574.55002586656,7.2,True,adequately_served,9.408848168306829,2.1580425820592626,6175.5,0.0447121878655428,1,12351,0.4401639794947514,19.569561260583967
0401TIT,-1.311843163,36.82985187,Nairobi South Ward,True,3,trunk,10.191880051653674,4.534709545769991,25,92,1890,1494.083346583214,1,1,1440.0,0,1,,,,,,,,,,88.83591703745924,56437.63657436855,20.0,True,adequately_served,3.159466582901877,0.955224914381282,3350.0,0.2680514789431406,1,6700,0.08231028091418335,35.93346786107317
