ward,county,subcounty,population,ward_area_km2,coverage_area_km2,coverage_ratio,pop_served,pop_not_served,pct_access
Githurai Ward,Nairobi,Roysambu  Sub County,52515.02408656415,1.5516374624512317,0.5997415119096545,0.38652167559953104,20298,32217,38.65
Karen Ward,Nairobi,Langata  Sub County,90123.85907777146,71.39330144030708,27.48586998049616,0.38499228115227974,34697,55427,38.5
Mihango Ward,Nairobi,Embakasi East Sub County,22000.26396561969,14.922689448472871,4.735046956651725,0.31730519977659194,6981,15019,31.73
Zimmerman Ward,Nairobi,Roysambu  Sub County,41029.54800371309,7.129172382010826,2.1864297019130214,0.30668773102332053,12583,28446,30.67
Kahawa West,Nairobi,Roysambu  Sub County,57375.0964702776,13.88673046389341,4.217762718098037,0.30372611674609445,17426,39949,30.37
Mutu-ini Ward,Nairobi,Dagoretti South Sub County,13290.8561008233,5.016310219694439,1.2569176263534725,0.25056616742296206,3330,9961,25.06
Embakasi Ward,Nairobi,Embakasi East Sub County,127185.79787032236,42.26781392881406,9.483945499086639,0.22437747821685697,28538,98648,22.44
Mwiki Ward,Nairobi,Kasarani  Sub County,56716.87356452877,18.78691931979661,3.799418678405573,0.20223745116113617,11470,45247,20.22
Ruai Ward,Nairobi,Kasarani  Sub County,57829.6892264539,100.47825758850496,9.266302841571544,0.09222196984665507,5333,52497,9.22
Mugumo-ini Ward,Nairobi,Langata  Sub County,121245.03465058042,126.41416315746545,10.349720964990086,0.08187153010773127,9927,111319,8.19
Lindi Ward,Nairobi,Kibra  Sub County,47016.290492869455,0.7441612707419593,0.0015632639253958004,0.0021007058373746896,99,46918,0.21
Lucky Summer Ward,Nairobi,Ruaraka  Sub County,0.0,1.5851512083196317,1.0601016222052813,0.668770030670488,0,0,
Korogocho Ward,Nairobi,Ruaraka  Sub County,0.0,0.8925955788659561,0.6309233790705672,0.7068412548851701,0,0,
Kawangware Ward,Nairobi,Dagoretti North Sub County,0.0,1.2444185751042087,1.0201904538040063,0.8198129425370999,0,0,
Kangemi Ward,Nairobi,Westlands  Sub County,0.0,1.5752104592351797,0.9968018350569665,0.6328054954262741,0,0,
Laini Saba Ward,Nairobi,Kibra  Sub County,0.0,0.371319640704398,0.1282580012453132,0.34541130386210156,0,0,
Kwa Reuben Ward,Nairobi,Embakasi South Sub County,0.0,0.46882873321565605,0.0007069873094760437,0.0015079863058453742,0,0,
Dandora Area I Ward,Nairobi,Embakasi North Sub County,0.0,0.5858853508991272,0.5843774171084327,0.9974262305954905,0,0,
Kayole Central Ward,Nairobi,Embakasi Central Sub County,0.0,0.8432173307955213,0.8432173307955219,1.0,0,0,
Ziwani/kariokor,Nairobi,Starehe  Sub County,0.0,0.8880274427548841,0.8880274427548828,0.9999999999999984,0,0,
Ngei Ward,Nairobi,Mathare  Sub County,0.0,0.434335794966533,0.41516703266237254,0.9558664919486143,0,0,
Mlango Kubwa,Nairobi,Mathare  Sub County,0.0,0.4124753169763245,0.4124753169763245,1.0,0,0,
